pertandingan;rating_tim_home;rating_tim_away;kualitas_pelatih_home;kualitas_pelatih_away;strategi_menyerang_home;strategi_menyerang_away;strategi_bertahan_home;strategi_bertahan_away;hasil
Tottenham vs West Brom;2;0;2;1;2;0;3;1;menang
Wolves vs Leicester City;1;1;1;1;1;2;0;0;imbang
Liverpool vs Manchester City;2;2;2;2;3;2;3;0;kalah
Sheffield vs Chelsea;0;2;1;0;0;3;0;2;kalah
Leeds United vs Crystal Palace;1;1;1;1;3;0;2;0;menang
Leicester City vs Liverpool;1;2;1;2;0;2;0;3;menang
Crystal Palace vs Burnley;1;0;1;1;1;0;0;1;kalah
Manchester City vs Tottenham;2;2;2;2;3;1;1;3;menang
Brighton vs Aston Villa;1;1;1;1;2;0;3;0;imbang
Southampton vs Wolves;1;1;1;1;1;1;0;3;kalah
West Brom vs Manchester United;0;2;1;1;0;3;0;0;imbang
Arsenal vs Leeds United;1;1;1;1;1;1;1;3;menang
Everton vs Fulham;1;1;2;1;2;2;0;2;kalah
West Ham vs Sheffield United;1;0;1;1;1;2;2;0;menang
Chelsea vs Newcastle;2;1;0;1;2;0;3;0;kalah
Everton vs Manchester City;1;2;2;2;0;3;0;2;kalah
Burnley vs Fulham;1;1;0;1;1;1;0;3;imbang
Wolves vs Leeds United;1;1;1;1;0;1;3;1;menang
Southampton vs Chelsea;1;2;1;0;0;3;3;2;imbang
Aston Villa vs Leicester City;1;1;1;1;1;1;2;3;imbang
Arsenal vs Manchester City;1;2;1;2;1;2;3;2;kalah
Manchester United vs Newcastle;2;1;1;1;3;0;2;0;menang
Brighton vs Crystal Palace;1;1;1;1;3;0;0;3;kalah
Leeds United vs Southampton;1;1;1;1;0;0;0;2;menang
Manchester City vs West Ham;2;1;2;1;3;0;2;3;menang
West Brom vs Brighton;0;1;1;1;0;2;0;2;menang
Leeds United vs Aston Villa;1;1;1;1;2;0;2;0;kalah
Newcastle vs Wolves;1;1;1;1;0;1;2;3;imbang
Crystal Palace vs Fulham;1;1;1;1;0;2;0;0;imbang
Leicester City vs Arsenal;1;1;1;1;1;2;3;1;kalah
Tottenham vs Burnley;2;1;2;0;3;1;2;1;menang
Chelsea vs Manchester United;2;2;0;1;3;1;1;0;imbang
Sheffield vs Liverpool;0;2;1;2;1;3;1;3;kalah
Everton vs Southampton;1;1;1;1;1;1;1;3;menang
Manchester City vs Wolves;2;1;2;1;3;0;2;3;menang
Burnley vs Leicester City;1;1;0;1;0;2;0;3;imbang
Sheffield vs Aston Vilaa;0;1;1;1;0;3;0;2;menang
Crystal Palace vs Manchester United;1;2;1;1;0;2;3;2;imbang
West Brom vs Everton;0;1;1;1;1;2;1;3;kalah
Liverpool vs Chelsea;2;2;2;0;3;2;3;0;kalah
Fulham vs Tottenham;1;2;1;2;2;0;2;3;kalah
Burnley vs Arsenal;1;1;0;1;1;2;1;0;imbang
Sheffield vs Southampton;0;1;1;1;0;0;0;1;kalah
Aston Villa vs Wolves;1;1;1;1;1;1;0;3;imbang
Brighton vs Leicester City;1;1;1;1;0;3;0;2;kalah
West Brom vs Newcastle;0;1;1;1;0;0;1;0;imbang
Liverpool vs Fulham;2;1;2;1;3;1;2;0;kalah
Manchester City vs Manchester United;2;2;2;1;3;0;2;1;kalah
Tottenham vs Crystal Palace;2;1;2;1;3;0;3;0;menang
Chelsea vs Everton;2;1;0;2;3;0;2;3;menang
West Ham vs Leeds United;1;1;1;1;0;2;1;3;menang
Manchester City vs Southampton;2;1;2;1;3;1;3;1;menang
Newcastle vs Aston Villa;1;1;1;1;0;1;3;0;imbang
Leeds United vs Chelsea;1;2;1;0;0;2;3;2;imbang
Crystal Palace vs West Brom;1;0;1;1;0;0;0;2;menang
Everton vs Burnley;1;1;2;0;2;0;0;1;kalah
Fulham vs Manchester City;1;2;1;2;1;2;3;2;kalah
Southampton vs Brighton;1;1;1;1;1;0;2;3;kalah
Leicester City vs Sheffield;1;0;1;1;3;0;2;3;menang
Arsenal vs Tottenham;1;2;1;2;2;1;0;0;menang
Manchester United vs West Ham;2;1;1;1;3;1;3;0;menang
Wolves vs Liverpool;1;2;1;2;2;1;2;0;kalah
Fulham vs Leeds United;1;1;1;1;0;0;1;0;kalah
Brighton vs Newcastle;1;1;1;1;3;0;3;0;menang
Aston Villa vs Tottenham;1;2;1;2;1;1;0;0;kalah
West Ham vs Arsenal;1;1;1;1;0;3;0;2;imbang
Chelsea vs West Brom;2;0;0;1;2;0;3;0;kalah
Leeds United vs Sheffield;1;0;1;1;1;1;0;1;menang
Leicester City vs Manchester City;1;2;1;2;1;2;1;3;kalah
Arsenal vs Liverpool;1;2;1;2;0;3;0;2;kalah
Southampton vs Burnley;1;1;1;0;1;0;2;3;menang
Newcastle vs Tottenham;1;2;1;2;0;2;3;1;imbang
Aston Villa vs Fulham;1;1;1;1;1;0;0;3;menang
Manchester United vs Brighton;2;1;1;1;3;1;3;0;menang
Everton vs Crystal Palace;1;1;1;1;1;2;0;3;imbang
Wolves vs West Ham;1;1;1;1;3;0;2;0;kalah
Fulham vs Wolves;1;1;1;1;1;1;0;3;kalah
Manchester City vs Leeds United;2;1;2;1;3;0;2;0;kalah
Liverpool vs Aston Villa;2;1;2;1;2;0;1;0;menang
Crystal Palace vs Chelsea;1;2;1;0;1;3;0;1;kalah
Burnley vs Newcastle;1;1;0;1;1;0;2;0;kalah
West Ham vs Leicester City;1;1;1;1;0;3;1;3;menang
Tottenham vs Manchester United;2;2;2;1;1;2;0;3;kalah
Sheffield vs Arsenal;0;1;1;1;1;2;3;2;kalah
West Brom vs Southampton;0;1;1;1;0;1;0;3;menang
Brighton vs Everton;1;1;1;1;2;1;0;0;imbang
Everton vs Tottenham;1;2;1;2;2;1;2;3;imbang
Newcastle vs West Ham;1;1;1;1;0;2;0;2;menang
Wolves vs Sheffield;1;0;1;1;1;2;0;0;menang
Arsenal vs Fulham;1;1;1;1;3;0;2;3;imbang
Manchester United vs Burnley;2;1;1;0;3;0;3;1;menang
Leeds United vs Liverpool;1;2;1;2;2;0;2;0;imbang
Chelsea vs Brighton;2;1;0;1;3;1;1;0;imbang
Tottenham vs Southampton;2;1;2;1;3;0;2;0;menang
Aston Villa vs Manchester City;1;2;1;2;0;3;1;2;kalah
Leicester City vs West Brom;1;0;1;1;3;0;2;0;menang
Arsenal vs Everton;1;1;1;2;3;1;2;0;kalah
Liverpool vs Newcastle;2;1;2;1;3;0;3;0;imbang
West Ham vs Chelsea;1;2;2;0;1;2;3;2;kalah
Sheffield vs Brighton;0;1;1;1;0;3;0;2;menang
Wolves vs Burnley;1;1;1;0;1;0;0;0;kalah
Leeds United vs Manchester United;1;2;1;1;0;1;2;0;imbang
Aston Villa vs West Brom;1;0;1;1;2;0;0;1;imbang
Leicester City vs Crystal Palace;1;1;1;1;2;0;3;0;menang
Southampton vs Leicester City;1;1;1;1;0;3;3;2;imbang
Crystal Palace vs Manchester City;1;2;1;2;0;3;2;3;kalah
Brighton vs Leeds United;1;1;1;1;0;1;1;0;menang
Chelsea vs Fulham;2;1;0;1;2;2;0;3;menang
Everton vs Aston Villa;1;1;1;1;1;1;0;0;kalah
Newcastle vs Arsenal;1;1;1;1;0;3;0;0;kalah
Tottenham vs Sheffield;2;0;2;1;3;0;2;3;menang
West Brom vs Wolves;0;1;1;1;0;1;2;0;imbang
Burnley vs West Ham;1;1;0;1;1;2;0;0;kalah
Leicester City vs Newcastle;1;1;1;1;2;0;2;3;kalah
Leeds United vs Tottenham;1;2;1;2;1;0;3;0;menang
Sheffield vs Crystal Palace;0;1;1;1;1;1;0;3;kalah
Manchester City vs Chelsea;2;2;2;0;2;2;3;0;kalah
Liverpool vs Southampton;2;1;2;1;2;1;0;3;menang
Wolves vs Brighton;1;1;1;1;2;0;3;0;menang
Aston Villa vs Manchester United;1;2;1;1;0;2;0;2;kalah
West Ham vs Everton;1;1;1;2;3;0;2;0;kalah
Arsenal vs West Brom;1;0;1;1;2;0;2;1;menang
Fulham vs Burnley;1;1;1;0;2;0;2;3;kalah
Southampton vs Crystal Palace;1;1;1;1;2;0;3;0;menang
Manchester United vs Leicester City;2;1;1;1;2;1;2;3;kalah
Chelsea vs Arsenal;2;1;0;1;3;0;2;3;kalah
Aston Villa vs Everton;1;1;1;2;2;0;3;0;imbang
Manchester United vs Liverpool;2;2;1;2;2;1;1;0;kalah
Newcastle vs Manchester City;1;2;1;2;0;3;0;2;kalah
Burnley vs Leeds United;1;1;0;1;1;1;3;1;kalah
Southampton vs Fulham;1;1;1;1;1;2;0;3;menang
Brighton vs West Ham;1;1;1;1;2;2;3;0;imbang
Crystal Palace vs Aston Villa;1;1;1;1;0;0;1;0;menang
Tottenham vs Wolves;2;1;2;1;2;0;0;0;menang
West Brom vs Liverpool;0;2;1;2;0;3;3;2;kalah
Everton vs Sheffield;1;0;1;1;3;0;3;0;kalah
Manchester United vs Fulham;2;1;1;1;2;1;0;3;imbang
Southampton vs Leeds United;1;1;1;1;0;0;2;0;kalah
Brighton vs Manchester City;1;2;1;2;3;0;2;3;menang
Chelsea vs Leicester City;2;1;0;1;2;0;2;0;menang
Everton vs Wolves;1;1;1;1;0;2;0;2;menang
Newcastle vs Sheffield;1;0;1;1;1;1;3;1;menang
Tottenham vs Aston Villa;2;1;2;1;2;0;0;0;kalah
Crystal Palace vs Arsenal;1;1;1;1;0;3;2;3;kalah
Burnley vs Liverpool;1;2;0;2;0;2;2;0;kalah
West Brom vs West Ham;0;1;1;1;0;0;0;0;kalah
Leicester City vs Tottenham;1;2;1;2;1;1;0;3;kalah
Wolves vs Manchester United;1;2;1;1;2;1;0;0;kalah
West Ham vs Southampton;1;1;1;1;0;2;0;3;menang
Sheffield vs Burnley;0;1;1;0;0;1;1;2;menang
Fulham vs Newcastle;1;1;1;1;2;0;0;0;kalah
Leeds United vs West Brom;1;0;1;1;1;0;3;3;menang
Arsenal vs Brighton;1;1;1;1;2;1;0;3;menang
Aston Villa vs Chelsea;1;2;1;0;0;2;3;0;menang
Manchester City vs Everton;2;1;2;2;3;0;2;0;menang
Liverpool vs Crystal Palace;2;1;2;1;2;0;2;3;menang
